 WARNING:

AD_TERM SHORTAGES and/or RELAXATIONS larger than 0.01 OCCUR!

YYYY	MM	Kswck	RedBlf	Wilkns	SacFea	SacAme	YoloBP	Therm	YubFea	Nimbus	Hst	ANN_RL	MRDO_RL	PosSum	NegSum	
1926	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.48	0.0	0.0	0.0	7.48	0.0	
1926	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95	62.85	0.0	0.0	70.8	0.0	
1928	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78	67.3	0.0	0.0	75.09	0.0	
1929	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.77	0.0	0.0	0.0	7.77	0.0	
1930	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.0	0.0	7.71	0.0	
1931	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	
1933	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	22.19	0.0	0.0	30.4	0.0	
1934	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	0.0	0.0	0.0	7.07	0.0	
1934	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	53.5	0.0	0.0	61.35	0.0	
1934	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.04	0.0	0.0	60.04	0.0	
1939	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01	0.0	0.0	0.0	7.01	0.0	
1939	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.86	55.04	0.0	0.0	62.89	0.0	
1939	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.42	0.0	0.0	22.42	0.0	
1944	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	0.0	0.0	0.0	7.73	0.0	
1947	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75	58.4	0.0	0.0	66.15	0.0	
1949	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81	0.0	0.0	0.0	7.81	0.0	
1954	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.07	59.16	0.0	0.0	67.23	0.0	
1955	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.0	0.0	0.0	7.7	0.0	
1959	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.54	0.0	0.0	0.0	7.54	0.0	
1959	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.14	52.63	0.0	0.0	60.77	0.0	
1959	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.53	0.0	0.0	86.53	0.0	
1960	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88	0.0	0.0	0.0	7.88	0.0	
